A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess,S(2n)_MeV
115,Sb,51,18729.0827,23.5033,12214.2308,16.0264,-1036.2782,16.387,-10665.6075,33.025,-5722.5761,16.0281,-13185.0537,29.2155,64,1.2549019607843137,1,14,0,,10578.1139,13,18.7290827
187,Au,79,17313.2667,22.6497,7271.1648,35.8764,4748.4422,30.1607,-10584.1883,23.8952,-1145.4011,27.9159,-12561.0395,25.3365,108,1.3670886075949367,-3,-18,0,,9385.2424,29,17.3132667
160,Hf,72,19978.9839,19.923,4507.0688,12.4135,4901.8746,2.5862,-16609.6742,150.1139,2605.7988,19.9843,-19570.9084,21.8761,88,1.2222222222222223,-10,6,0,,11157.4592,16,19.9789839
41,S,16,11988.5444,50.1677,35906.8739,135.5943,-14861.9837,113.8831,14058.9296,4.1133,-31964.427,122.0593,477.9204,32.3264,25,1.5625,-4,-3,0,,4242.0484,9,11.9885444
142,Te,52,6325.0,500.0,26637.0,583.0,-3464.0,640.0,18680.0,500.0,,,5306.0,500.0,90,1.7307692307692308,2,8,0,,3951.0,38,6.325
62,Cr,24,10086.7473,3.6233,33330.8559,240.3502,-12359.8588,183.3721,18025.4452,4.4371,-31772.0,300.0,2818.2002,4.1595,38,1.5833333333333333,4,10,0,,6427.4274,14,10.0867473
62,Mn,25,11698.6548,6.9445,30014.5051,182.0637,-10518.2968,96.0392,12900.4347,19.6929,-25635.8143,235.0109,2325.22,7.0431,37,1.48,-3,9,0,,4853.153,12,11.6986548
153,Pm,61,13404.3793,10.1371,18446.264,14.7549,-2033.546,13.4026,2719.4632,9.103,-14178.9043,20.6336,-3956.3441,9.0819,92,1.5081967213114753,11,10,0,,7464.8529,31,13.4043793
133,La,57,17867.7632,39.5199,12016.7598,27.9454,-420.2576,28.3133,-7556.8004,30.612,-5630.6696,27.964,-11097.0221,34.6029,76,1.3333333333333333,7,-6,0,,9842.1323,19,17.867763200000002
123,Xe,54,18909.8973,13.9931,11283.0893,27.5127,-490.6342,11.9939,-9593.2946,15.4121,-2223.947,9.5566,-15174.8072,35.01,69,1.2777777777777777,4,-13,0,,7964.5877,15,18.9098973
48,Cl,17,6688.0,510.0,41698.0,707.0,-17815.0,640.0,28004.0,500.0,-40379.0,781.0,13016.0,500.0,31,1.8235294117647058,-3,3,0,,2771.0,14,6.688
