1,A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess
,26,Al,13,28303.9634,0.2373,18370.1808,0.0682,-9453.6638,0.1474,-23183#,196#,-10141.2968,1.2018,-24108.7792,10.0002,13,1,5,5,2.5,,11365.4835,0
,26,Si,14,34028.825,19.4724,7785.3673,0.1079,-9165.9328,0.1922,-34821#,600#,-1237.1924,0.1017,-35402#,400#,12,0.857142857,6,4,2.4,+,19039.643,-2
,26,P,15,39190#,537#,3556#,196#,-9653#,446#,*,,12600#,196#,*,,11,0.733333333,-5,3,7.5,,17288#,-4
,26,S,16,*,,-2357#,600#,-8385#,781#,*,,16564#,600#,*,,10,0.625,-4,2,4,+,*,-6
0,27,O,8,-1198#,527#,*,,-21926#,1115#,37619#,508#,*,,17924#,512#,19,2.375,0,-1,0,,-1937#,11
,27,F,9,2343.325,154.1059,45427#,517#,-14011.8669,437.4086,30651.2685,120.2555,*,,16581.0463,121.6023,18,2,1,-2,2,,1612.4952,9
,27,Ne,10,7056.2232,95.3041,34856.0623,188.3934,-9995.3765,151.8322,21637.5042,90.7703,-34899.1017,188.2759,5840.3723,90.8378,17,1.7,2,-3,6,,1501.5217,7
,27,Na,11,12302.613,3.9147,31429.8995,96.5144,-11227.9698,33.5281,11679.0731,3.726,-31481.4166,107.092,2625.435,3.7264,16,1.454545455,3,-4,12,,6728.3282,5
,27,Mg,12,17536.4483,0.0584,27129.0334,29.0454,-11857.4651,0.1146,-2202.0889,0.1173,-22356.6788,18.4288,-10447.7728,0.0737,15,1.25,4,-5,20,,6443.3687,3
,27,Al,13,24423.5258,0.0803,22416.9921,1.2009,-10091.9259,0.0473,-16537.8313,9.0008,-17625.0542,3.502,-18127.1784,0.1176,14,1.076923077,5,6,2.727272727,,13058.0422,1
,27,Si,14,32354.4631,10.0006,13769.6654,0.1172,-9335.7466,0.112,-29875#,400#,-3458.9327,0.1113,-31429#,196#,13,0.928571429,6,5,2.727272727,,13314.82,-1
,27,P,15,36992#,400#,6321.0005,9.0007,-9832.0193,9.0072,*,,4262.136,9.0004,-36411#,600#,12,0.8,-5,4,20,,19703#,-3
,27,S,16,*,,914#,400#,-8884#,641#,*,,17343#,400#,*,,11,0.6875,-4,3,12,,18261#,-5
0,28,O,8,-1276#,718#,*,,*,,40780#,710#,*,,18875#,709#,20,2.5,0,0,,+,661#,12
,28,F,9,1413.4951,59.6559,*,,-15959#,418#,34392.1113,120.7828,*,,18281.568,150.7406,19,2.111111111,1,-1,,,-199,10
,28,Ne,10,5324.0116,127.4075,37939.2446,207.6093,-9625.5821,207.5491,26319.6836,126.0679,-40659#,516#,8746.2106,126.1227,18,1.8,2,-2,,+,3822.4899,8
,28,Na,11,10270.1709,10.8282,34240.9124,107.5165,-10957.747,98.2063,15862.4042,10.2466,-33410.7642,120.6337,5526.9609,10.2465,17,1.545454545,3,-3,,,3541.8428,6
,28,Mg,12,14948.0381,0.2625,30079.0012,18.4306,-11493.219,0.5752,6472.8516,0.2608,-29359.8266,90.7706,-5894.4,0.2651,16,1.333333333,4,-4,,+,8504.6694,4
,28,Al,13,20783.2162,0.0821,24567.8812,3.502,-10857.7346,0.0513,-9702.8631,1.1483,-18621.9,3.726,-12537.5323,0.097,15,1.153846154,5,-5,,,7725.174,2
,28,Si,14,30494.4299,0.1076,19856.1957,0.0293,-9984.1348,0.0129,-25566,160,-14195.174,0.0472,-28905.0829,9.0006,14,1,6,6,3,+,17179.6099,0
,28,P,15,34263#,196#,9515.6592,1.1492,-9523.9602,1.1654,-35418#,500#,2760.0361,1.1482,-32710#,400#,13,0.866666667,-5,5,,,14560.1422,-2
,28,S,16,39750#,621#,3363.7359,160,-9096.8986,161.1805,*,,9168.7371,160,*,,12,0.75,-4,4,,+,21489#,-4
,28,Cl,17,*,,-2719#,537#,-8175#,707#,*,,21640#,500#,*,,11,0.647058824,-3,3,,,*,-6
0,29,F,9,1125.9238,538.9373,*,,-18258#,727#,37470.1964,525.4139,*,,20779.1341,540.2768,20,2.222222222,1,0,0,,1324.9238,11
,29,Ne,10,4793.7431,174.9026,40848#,522#,-11354.143,222.7207,29012.163,149.5052,-40969#,714#,11316.8002,149.8555,19,1.9,2,-1,-2,,971.2532,9
,29,Na,11,7944.8517,8.2287,37031.4262,120.4214,-11079.0889,96.721,20887.7562,7.3447,-38012.7732,120.5708,9628.6213,7.3412,18,1.636363636,3,-2,-6,,4403.009,7
,29,Mg,12,12168.4019,0.3477,32241.2121,90.7709,-11001.7729,29.0474,11282.7215,0.3445,-29201.0692,126.0681,-1832.9586,0.3479,17,1.416666667,4,-3,-12,,3663.7325,5
,29,Al,13,17153.5348,0.3479,27267.9139,3.7422,-11274.8645,1.2485,-1254.9132,0.4976,-24508.4181,10.2522,-4786.2833,0.3447,16,1.230769231,5,-4,-20,,9428.3609,3
,29,Si,14,25653.2124,0.1074,21886.4295,0.0472,-11127.2154,0.0469,-18800.6581,13.0409,-14164.1071,0.2608,-22818.5432,1.1473,15,1.071428571,6,-5,-30,,8473.6025,1
,29,P,15,32436.4529,9.0078,14333.9276,0.362,-10461.791,0.3647,-30975#,189#,-7391.1007,0.3622,-29097.37,160.0004,14,0.933333333,-5,6,-30,,17876.3107,-1
,29,S,16,36728#,400#,5287.8603,13.0414,-9346.661,16.4337,-41063#,439#,11109.4026,13.0409,-39436#,500#,13,0.8125,-4,5,-20,,15238.9444,-3
,29,Cl,17,*,,-103#,189#,-8593#,442#,*,,13881#,189#,*,,12,0.705882353,-3,4,-12,,22319#,-5
,29,Ar,18,*,,-5900#,180#,*,,*,,26607#,467#,*,,11,0.611111111,-2,3,-6,,*,-7
0,30,F,9,586#,514#,*,,*,,40486#,500#,*,,22489#,522#,21,2.333333333,1,1,0.5,,-739#,12
,30,Ne,10,4162.2543,282.8937,43378#,743#,-13805.8365,302.2324,32161.4924,253.2538,*,,12528.808,253.3567,20,2,2,0,0,+,3191.0012,10
,30,Na,11,6679.6511,11.2842,39507.0684,120.4402,-12624.9011,107.1315,24338.7863,5.1079,-38964.4916,525.3839,11015.7117,4.7395,19,1.727272727,3,-1,-1.5,,2276.6421,8
,30,Mg,12,10004.0631,1.3209,34759.0528,126.0743,-11787.402,18.4742,15551.5899,1.2951,-34570.1466,149.5104,1255.0717,1.34,18,1.5,4,-2,-4,+,6340.3306,6
,30,Al,13,15156.0331,1.9362,29453.7434,10.4276,-11428.2519,4.001,4336.7394,1.9366,-25833.0814,7.5876,-2040.353,1.9355,17,1.307692308,5,-3,-7.5,,5727.6723,4
,30,Si,14,19082.8014,0.0217,23990.959,0.2617,-10643.3347,0.0364,-10373.708,0.205,-21109.5735,0.3452,-15551.4314,0.3595,16,1.142857143,6,-4,-12,+,10609.1989,2
,30,P,15,29195.6356,1.1491,17928.0785,0.0813,-10415.6324,0.0929,-24875.4035,23.8761,-9282.0647,0.3508,-25177.7505,13.0411,15,1,-5,-5,-2.5,,11319.3249,0
,30,S,16,34275.0935,160.0001,7144.3995,0.2062,-9343.167,0.2326,-36130#,179#,546.856,0.2062,-36153#,189#,14,0.875,-4,6,-12,+,19036.1491,-2
,30,Cl,17,39738#,501#,2755.5381,23.9036,-8723#,197#,*,,14338.4256,23.8787,-41366#,439#,13,0.764705882,-3,5,-7.5,,17419#,-4
,30,Ar,18,*,,-3420#,80#,-8034#,626#,*,,17877#,179#,*,,12,0.666666667,-2,4,-4,+,23969#,-6
0,31,F,9,-550#,100#,*,,*,,44597#,535#,*,,25491#,592#,22,2.444444444,1,2,0.666666667,,189#,13
,31,Ne,10,3360.8452,305.3058,*,,-15913#,567#,34303.7458,266.213,*,,14635.6061,266.2373,21,2.1,2,1,0.666666667,,169.844,11
,31,Na,11,6576.5985,15.7814,42482.101,525.5484,-15312.3624,121.0071,27196.7402,14.1501,-44003#,500#,13056.0859,14.0323,20,1.818181818,3,0,0,,4299.9564,9
,31,Mg,12,8652.428,3.0932,36099.897,149.5364,-12597.9777,90.8223,19826.8855,3.0742,-33691.2428,253.2691,4670.6466,3.6325,19,1.583333333,4,-1,-1.333333333,,2312.0974,7
,31,Al,13,12885.5825,2.262,32208.6447,7.6697,-11857.8341,4.3455,9489.8357,2.2356,-30714.3496,5.229,1410.9356,2.2357,18,1.384615385,5,-2,-3.333333333,,7157.9103,5
,31,Si,14,17196.5919,0.0434,26914.6195,0.3472,-10787.359,0.0641,-3906.5059,0.2333,-21356.6359,1.2956,-10819.4995,0.0721,17,1.214285714,6,-3,-6,,6587.393,3
,31,P,15,23630.3315,0.3589,20810.7242,0.3447,-9668.5967,0.0474,-17405.9919,3.4465,-15865.399,1.9355,-18452.608,0.2062,16,1.066666667,-5,-4,-2.222222222,,12311.0066,1
,31,S,16,32090.7442,13.0429,11725.392,0.2292,-9082.9421,0.2531,-30368#,200#,-1898.5401,0.2302,-31788.3971,23.8771,15,0.9375,-4,-5,-2.222222222,,13054.5951,-1
,31,Cl,17,37199#,189#,4659.6455,3.4652,-8800.436,9.638,-41295#,300#,5877.3324,3.4471,-37177#,179#,14,0.823529412,-3,6,-6,,19780.4181,-3
,31,Ar,18,42786#,482#,158#,200#,-8590#,447#,*,,18096#,200#,*,,13,0.722222222,-2,5,-3.333333333,,18817#,-5
,31,K,19,*,,-5660#,354#,*,,*,,22297#,301#,*,,12,0.631578947,-1,4,-1.333333333,,*,-7
0,32,Ne,10,2424#,563#,*,,-17506#,861#,37828#,503#,*,,16682#,503#,22,2.2,2,2,1,+,2254#,12
,32,Na,11,5977.1543,37.5584,44898#,502#,-17188.5604,125.9833,29739.52,37.9438,-45492#,536#,13690.9853,37.3863,21,1.909090909,3,1,0.75,,1677.1979,10
,32,Mg,12,8090.1643,3.508,38686.9628,253.2715,-14553.5547,126.1098,23248.7884,3.2738,-39299.4657,266.2153,6050.4899,3.9531,20,1.666666667,4,0,0,+,5778.0669,8
,32,Al,13,11377.888,7.4291,34151.9803,8.5901,-12535.969,12.5074,13205.5079,7.1726,-30634.3709,15.7058,3778.3509,7.1726,19,1.461538462,5,-1,-1.25,,4219.9777,6
,32,Si,14,15787.3629,0.2989,29774.2588,1.3287,-11482.6595,0.3961,1937.848,0.2981,-28244.5084,3.0883,-7708.4628,0.2981,18,1.285714286,6,-2,-3,+,9199.9699,4
,32,P,15,20246.6566,0.0765,23018.702,1.936,-9879.0727,0.063,-10970.1705,0.5631,-16643.1387,2.2359,-13333.6629,0.2327,17,1.133333333,-5,-3,-1.875,,7935.65,2
,32,S,16,28098.9188,0.2062,16160.5168,0.0217,-6947.6559,0.0014,-23815.1848,1.7698,-10355.4708,0.0434,-27052.3027,3.4465,16,1,-4,-4,-2,+,15044.3237,0
,32,Cl,17,34151.8896,23.8827,7711.7921,0.5655,-8611.7653,1.256,-35324#,400#,3816.8675,0.5617,-32731#,200#,15,0.882352941,-3,-5,-1.875,,14371.4714,-2
,32,Ar,18,40414#,179#,2719.04,1.7818,-8698.4711,160.0098,*,,9553.2081,1.7846,-44532#,300#,14,0.777777778,-2,6,-3,+,21597#,-4
,32,K,19,*,,-2737#,400#,-8705#,640#,*,,21735#,400#,*,,13,0.684210526,-1,5,-1.25,,20342#,-6
0,33,Ne,10,1194#,656#,*,,*,,41168#,600#,*,,19419#,601#,23,2.3,2,3,1.2,,-1060#,13
,33,Na,11,4608.5546,450.1286,47641#,699#,-18794.9932,691.6838,32277.495,449.9659,*,,16537.6956,449.9235,22,2,3,2,1.2,,2931.3567,11
,33,Mg,12,8057.6114,4.0673,40796.6632,266.2086,-15861.846,149.5285,25477.2009,2.7535,-39325#,503#,7990.9232,7.651,21,1.75,4,1,0.8,,2279.5444,9
,33,Al,13,9689.3095,7.3352,35321.3556,15.6216,-13602.2918,10.1308,17839.9683,7.0707,-34426.5047,37.9091,7508.989,6.9926,20,1.538461538,5,0,0,,5469.3317,7
,33,Si,14,13707.9268,0.7,31970.1183,3.1523,-12326.8839,0.7789,6071.5302,0.6986,-26974.3984,3.3342,-4280.7698,0.6998,19,1.357142857,6,-1,-1.2,,4507.957,5
,33,P,15,18039.4421,1.09,25964.5838,2.4871,-10554.504,1.1432,-5334.0103,1.1579,-22526.9531,7.2549,-8393.1313,1.09,18,1.2,-5,-2,-1.428571429,,10103.7921,3
,33,S,16,23685.963,0.2292,18214.7631,0.0434,-7115.6926,0.0014,-17201.5634,0.4006,-9797.1402,0.2981,-21322.4705,0.5617,17,1.0625,-4,-3,-1.714285714,,8641.6392,1
,33,Cl,17,30111.4237,3.4686,11140.7378,0.3908,-6475.4069,0.5306,-28544#,200#,-3987.4348,0.3928,-26874.3058,1.8125,16,0.941176471,-3,-4,-1.714285714,,15739.9523,-1
,33,Ar,18,36852#,200#,4919.7055,0.4615,-8714.7873,13.0471,-40414#,400#,9342.2712,0.4006,-39445#,400#,15,0.833333333,-2,-5,-1.428571429,,15255.2606,-3
,33,K,19,42863#,361#,3#,200#,-8907#,275#,*,,13586#,200#,*,,14,0.736842105,-1,6,-1.2,,22521#,-5
,33,Ca,20,*,,-5127#,447#,-9364#,593#,*,,25941#,400#,*,,13,0.65,0,5,0,,*,-7
0,34,Ne,10,300#,100#,*,,*,,44518#,513#,*,,20990#,682#,24,2.4,2,4,1.333333333,+,1360#,14
,34,Na,11,3102.6733,600.5734,*,,-19705#,781#,34677.7331,599.4201,*,,18645.9235,599.4224,23,2.090909091,3,3,1.5,,171.3166,12
,34,Mg,12,6990.4113,7.6252,43254#,503#,-17381.7116,253.3443,28315.0081,6.9394,-45096#,600#,8749.3881,9.8143,22,1.833333333,4,2,1.333333333,+,4710.8668,10
,34,Al,13,8040.8864,7.4749,36215.7124,37.3192,-13897.2044,5.1744,21551.0828,2.2553,-34066.7027,449.9166,9445.3913,2.2176,21,1.615384615,5,1,0.833333333,,2571.5547,8
,34,Si,14,12056.631,0.8548,33740.7254,3.3572,-13535.2274,1.5226,9940.0054,0.8023,-32243.528,2.7812,-1725.6517,1.3527,20,1.428571429,6,0,0,+,7548.674,6
,34,P,15,16386.4614,0.8114,28027.2753,7.2181,-11109.5009,2.0983,-108.6158,0.8119,-23340.2905,7.0331,-6034.1613,0.8104,19,1.266666667,-5,-1,-0.833333333,,6282.6692,4
,34,S,16,20058.7884,0.0446,20431.9424,0.3014,-7923.6429,0.0496,-11553.3967,0.07,-16706.3325,0.7,-16999.6674,0.3933,18,1.125,-4,-2,-1.333333333,+,11417.1492,2
,34,Cl,17,27248.016,0.5638,14713.1516,0.063,-6664.1457,0.0814,-23220#,196#,-5391.7064,1.0911,-23127.109,0.4035,17,1,-3,-3,-1.5,,11508.0637,0
,34,Ar,18,32320.5766,1.7715,6940.6977,0.0777,-6743.9542,0.2203,-33268#,300#,918.5945,0.0777,-33990#,200#,16,0.888888889,-2,-4,-1.333333333,+,17065.3159,-2
,34,K,19,39353#,445#,2463#,196#,-8320#,197#,*,,12494#,196#,-40322#,445#,15,0.789473684,-1,-5,-0.833333333,,16832#,-4
,34,Ca,20,*,,-2512#,300#,-9606#,349#,*,,16985#,300#,*,,14,0.7,0,6,0,+,24211#,-6
0,35,Na,11,2091#,807#,*,,-21436#,857#,38055#,670#,*,,21437#,670#,24,2.181818182,3,4,1.714285714,,1920#,13
,35,Mg,12,5465.723,269.6807,45069#,658#,-17966.7238,378.9202,30031.2661,272.0411,-44491#,579#,10566.0866,269.6758,23,1.916666667,4,3,1.714285714,,754.8562,11
,35,Al,13,7868.9837,10.1469,38581.7847,449.9718,-14894.677,15.7918,24634.0795,7.5918,-39192.8151,599.4616,11696.6363,7.4023,22,1.692307692,5,2,1.428571429,,5297.429,9
,35,Si,14,10019.7882,35.8642,33932.2951,35.9561,-13694.2441,35.9889,14454.7297,35.8574,-30003.7753,36.5139,2085.9034,35.8665,21,1.5,6,1,0.857142857,,2471.1141,7
,35,P,15,14663.0949,2.1614,30938.3692,7.2312,-12332.0163,2.9123,4155.7224,1.8666,-29149.1615,2.813,-2997.4378,1.8669,20,1.333333333,-5,0,0,,8380.4257,5
,35,S,16,18402.9877,0.0405,22909.8239,0.6998,-8322.0883,0.0593,-5798.9211,0.6799,-16143.4969,0.8021,-12477.4421,0.0494,19,1.1875,-4,-1,-0.8,,6985.8384,3
,35,Cl,17,24152.8276,0.3924,17254.1233,1.0906,-6997.903,0.0355,-17840.6383,0.5136,-11753.8011,0.8112,-18706.5569,0.0785,18,1.058823529,-3,-2,-1.2,,12644.7639,1
,35,Ar,18,29805.63,0.7895,11039.3725,0.6803,-6429.6731,0.7179,-28238#,200#,-404.5703,0.6807,-29898#,196#,17,0.944444444,-2,-3,-1.2,,12740.314,-1
,35,K,19,34856#,200#,4747.4953,0.6444,-6563.2566,3.4844,-38273#,400#,5978.2215,0.5146,-34134#,300#,16,0.842105263,-1,-4,-0.8,,18024#,-3
,35,Ca,20,41982#,447#,3#,200#,-8560#,283#,*,,16280#,200#,*,,15,0.75,0,-5,0,,17771#,-5
,35,Sc,21,*,,-4982#,447#,-9585#,500#,*,,21031#,445#,*,,14,0.666666667,1,6,0.857142857,,*,-7
0,36,Na,11,1920#,335#,*,,*,,39952#,703#,*,,22192#,738#,25,2.272727273,3,-3,,,-0#,14
,36,Mg,12,4085.8008,690.2715,47039#,860#,-19044#,854#,32816.2848,693.9612,*,,12532.5711,690.2764,24,2,4,4,2,+,3330.9446,12
,36,Al,13,7194.6331,149.5196,40307.6722,617.7797,-15114.6831,154.0778,26201.429,150.0788,-39170#,687#,12270.5464,153.7447,23,1.769230769,5,3,1.875,,1897.2041,10
,36,Si,14,8587.0774,71.8019,35337.3915,72.1276,-14032.1404,71.8714,18228.0156,71.7977,-35364.8823,279.0617,4350.3658,71.8217,22,1.571428571,6,2,1.5,+,6115.9633,8
,36,P,15,11844.9793,13.1387,31831.3681,13.2815,-11576.5922,14.947,9270.9633,13.1137,-27316.2861,15.0373,523.8471,13.1137,21,1.4,-5,1,1.25,,3464.5535,6
,36,S,16,16875.0876,0.1921,25250.399,0.8229,-9011.3676,0.3524,-432.5986,0.19,-23561.6319,35.8569,-9721.9273,0.1893,20,1.25,-4,0,0,+,9889.2491,4
,36,Cl,17,21224.5584,0.0508,19551.2486,0.8112,-7642.0475,0.0537,-12104.8264,0.3271,-11953.1699,1.8666,-14546.0374,0.6794,19,1.117647059,-3,-1,-0.75,,8579.7945,2
,36,Ar,18,27995.8856,0.0822,14877.7949,0.0522,-6640.921,0.027,-23780.3761,40,-8674.3035,0.0486,-27129.9671,0.513,18,1,-2,-2,-1,+,15255.5716,0
,36,K,19,32340#,196#,7555.0379,0.3288,-6507.3916,0.6061,-33567#,300#,4307.379,0.3271,-30679#,200#,17,0.894736842,-1,-3,-0.75,,14315.6064,-2
,36,Ca,20,37484#,303#,2650.8155,40.0001,-6675.7297,40.0391,*,,9307.1515,40.0058,-41622#,402#,16,0.8,0,-4,0,+,19713#,-4
,36,Sc,21,*,,-2793#,358#,-8264#,500#,*,,20034#,300#,*,,15,0.714285714,1,-5,1.25,,19021#,-6
0,37,Na,11,840#,150#,*,,*,,43325#,710#,*,,24683#,974#,26,2.363636364,3,-2,-6,,840#,15
,37,Mg,12,3570.9445,749.1648,*,,-20344#,921#,34782.9897,708.1524,*,,14189.7752,714.758,25,2.083333333,4,-3,-12,,240,13
,37,Al,13,6109.3421,180.3943,42600#,694#,-16395.4644,484.6735,28805.5767,184.1955,-43382#,710#,14174.3716,194.0176,24,1.846153846,5,4,2.222222222,,4212.138,11
,37,Si,14,8322.6681,119.3244,36789.2402,292.6997,-13959.3009,113.8405,20324.9138,113.8095,-34240.6426,699.5569,5608.2145,114.5623,23,1.642857143,6,3,2,,2206.7049,9
,37,P,15,10280.8393,37.9927,33350.2248,38.6547,-12923.5461,38.5855,12765.5393,37.9478,-32235.3677,154.2457,3596.8105,37.9473,22,1.466666667,-5,2,3.333333333,,6816.2857,7
,37,S,16,14192.8522,0.2006,27082.8879,35.8569,-8807.0137,0.7262,4051.2529,0.2804,-21749.2717,71.7977,-5445.7359,0.1995,21,1.3125,-4,1,1.333333333,,4303.6031,5
,37,Cl,17,18890.6562,0.0639,21481.6846,1.8663,-7849.1172,1.0912,-6961.3504,0.1073,-18799.4781,13.1137,-9601.3275,0.0584,20,1.176470588,-3,0,0,,10310.8617,3
,37,Ar,18,24043.0262,0.7111,16679.4111,0.2108,-6786.7364,0.2066,-17811.6089,0.6671,-7572.509,0.2732,-21601.8153,0.3852,19,1.055555556,-2,-1,-0.666666667,,8787.4546,1
,37,K,19,29769.9441,0.5209,10364.6118,0.1004,-6221.777,0.4019,-28580#,300#,-2567.1643,0.1006,-26420.3532,40.0001,18,0.947368421,-1,-2,-0.666666667,,15454.3377,-1
,37,Ca,20,34469#,200#,4666.7233,0.9301,-6176.6909,0.7502,-38306#,400#,9806.5013,0.6349,-37358#,300#,17,0.85,0,-3,0,,14756.2218,-3
,37,Sc,21,39463#,500#,-375#,300#,-6185#,361#,*,,13908#,300#,*,,16,0.761904762,1,-4,1.333333333,,20442#,-5
,37,Ti,22,*,,-5402#,447#,-8285#,565#,*,,24332#,402#,*,,15,0.681818182,2,-5,3.333333333,,*,-7
0,38,Na,11,140#,292#,*,,*,,45436#,731#,*,,25623#,1000#,27,2.454545455,3,-1,-1.5,,-700#,16
,38,Mg,12,2449#,854#,*,,-21192#,718#,38244#,514#,*,,16193#,534#,26,2.166666667,4,-2,-4,+,2209#,14
,38,Al,13,5623#,212#,44011#,703#,-17635#,618#,31091#,167#,-43953#,703#,14970#,188#,25,1.923076923,5,-3,-7.5,,1411#,12
,38,Si,14,7876.8099,127.0294,39128.4007,698.1468,-14918.5391,105.0195,22690.9168,105.0382,-39670.7477,706.7594,6754.3952,111.4524,24,1.714285714,6,4,2.4,+,5670.1051,10
,38,P,15,10513.1562,73.7557,35149.8912,166.1915,-14048.8619,72.611,15176.5512,72.5806,-31720.1002,194.3087,4203.5431,72.5808,23,1.533333333,-5,3,7.5,,3696.8704,8
,38,S,16,12339.7111,7.1743,29003.0327,72.1548,-9294.4477,7.2166,7853.6109,7.1747,-27578.6749,114.0351,-3170.9823,7.1719,22,1.375,-4,2,4,+,8036.1081,6
,38,Cl,17,16418.744,0.105,24125.0133,13.1139,-7674.3302,0.8163,-997.3562,0.2185,-18091.0746,37.9479,-6921.7552,0.2166,21,1.235294118,-3,1,1.5,,6107.8823,4
,38,Ar,18,20625.9206,0.1968,18628.628,0.2709,-7208.0532,0.2,-12656.3234,0.0636,-15107.3719,0.2781,-17985.9435,0.2164,20,1.111111111,-2,0,0,+,11838.466,2
,38,K,19,27526.2142,0.3793,13856.6938,0.1985,-6785.5898,0.2013,-24551#,200#,-4328.179,0.202,-23736.0078,0.6637,19,1,-1,-1,-0.5,,12071.8765,0
,38,Ca,20,31749.9733,40.0005,6404.9032,0.1962,-6105.1265,0.2093,-33428#,300#,1600.2044,0.2837,-33910#,300#,18,0.9,0,-2,0,+,16993.7515,-2
,38,Sc,21,36542#,361#,1410#,200#,-5454#,280#,*,,13262#,200#,-37491#,447#,17,0.80952381,1,-3,1.5,,16101#,-4
,38,Ti,22,*,,-3243#,303#,-5945#,424#,*,,17217#,300#,*,,16,0.727272727,2,-4,4,+,21871#,-6
0,39,Na,11,-700#,283#,*,,*,,48487#,801#,*,,27831#,897#,28,2.545454545,3,0,0,,-0#,17
,39,Mg,12,1579#,867#,*,,*,,40455#,530#,*,,18234#,534#,27,2.25,4,-1,-1.333333333,,-630#,15
,39,Al,13,4463#,350#,46222#,750#,-18767#,734#,34264#,320#,-47705#,776#,17589#,318#,26,2,5,-2,-3.333333333,,3051#,13
,39,Si,14,7250.7722,176.9791,40469.0679,711.9665,-15744.35,301.8106,25483.0235,144.4612,-39043#,521#,8870.5985,153.7432,25,1.785714286,6,-3,-6,,1580.6672,11
,39,P,15,9921.2594,118.8649,37162.1421,212.5483,-14975.8218,112.8848,17025.5823,112.658,-36533#,188#,6015.2622,112.8728,24,1.6,-5,4,20,,6224.3889,9
,39,S,16,12408.8819,50.0004,31169.1017,124.3083,-11196.1074,61.5284,10079.5237,50.2494,-26281.3436,116.1103,-1435.8738,50.0001,23,1.4375,-4,3,12,,4372.7738,7
,39,Cl,17,14181.3024,1.7313,25382.1477,37.9873,-7367.3246,2.5457,4006.9774,1.7321,-22467.6243,72.6012,-3156.7093,1.743,22,1.294117647,-3,2,6,,8073.4201,5
,39,Ar,18,18437.1527,5.0043,20923.7116,5.0039,-6820.9014,5.0002,-5959.4888,5.0354,-13669.9505,8.7429,-12512.7537,5.0038,21,1.166666667,-2,1,2,,6598.6867,3
,39,K,19,25149.6302,0.0941,16623.5858,0.052,-7218.5796,0.0358,-19634.4692,24,-11298.0505,0.0981,-19820.0101,0.1944,20,1.052631579,-1,0,0,,13077.7537,1
,39,Ca,20,30289.2728,0.8705,10912.9699,0.631,-6660.3337,0.9046,-29783#,200#,143.1491,0.6272,-31105#,200#,19,0.95,0,-1,0,,13295.5213,-1
,39,Sc,21,34095#,301#,3950.467,24.0002,-5424.7488,24.0055,-36743#,400#,7339.0624,24.0008,-33614#,301#,18,0.857142857,1,-2,2,,17995#,-3
,39,Ti,22,38812#,447#,-1058#,200#,-5115#,283#,*,,17270#,200#,*,,17,0.772727273,2,-3,6,,16941#,-5
,39,V,23,*,,-4212#,500#,-6955#,565#,*,,19531#,447#,*,,16,0.695652174,3,-4,12,,*,-7
0,40,Mg,12,667#,709#,*,,*,,43883#,515#,*,,19989#,583#,28,2.333333333,4,0,0,+,1297#,16
,40,Al,13,3792#,335#,47663#,776#,-19507#,750#,36960#,311#,-48445#,801#,18429#,329#,27,2.076923077,5,-1,-1.25,,740#,14
,40,Si,14,6305.461,160.8206,42985#,518#,-17138.1994,700.9344,28504.7256,122.0555,-44397#,527#,10370.1935,166.0437,26,1.857142857,6,-2,-3,+,4724.7939,12
,40,P,15,9660.2607,110.7161,39187#,172#,-16514.4895,171.2945,19418.6291,89.545,-36918#,311#,6952.1643,97.4172,25,1.666666667,-5,-3,-1.875,,3435.8718,10
,40,S,16,12119.2699,8.2033,33245.4927,104.8687,-12826.6402,71.9078,12202.0503,3.982,-32447.1725,135.5909,-1108.9498,4.3425,24,1.5,-4,4,,+,7746.496,8
,40,Cl,17,13902.3386,32.0657,27514.1958,79.3481,-9731.6896,34.6434,5977.6784,32.0656,-22072.1539,117.1197,-2386.9411,32.453,23,1.352941176,-3,3,,,5828.9185,6
,40,Ar,18,16467.7093,0.195,22756.6262,7.172,-6800.675,0.1881,-193.4981,0.0206,-19166.1994,50,-9304.0227,0.004,22,1.222222222,-2,2,,+,9869.0227,4
,40,K,19,20877.3733,0.2031,18315.3231,0.1129,-6438.4047,0.0665,-13012.1442,2.8288,-11024.2499,1.733,-14324.1083,0.5988,21,1.105263158,-1,1,,,7799.6195,2
,40,Ca,20,28930.5347,0.1955,14709.5173,0.1961,-7039.7755,0.0339,-25852.9632,68.2437,-8893.1776,5,-28744.9938,24,20,1,0,0,,+,15635.0134,0
,40,Sc,21,32417#,200#,6300.5351,2.835,-5531.0869,2.8468,-32993#,300#,5994.8717,2.8282,-31095#,200#,19,0.904761905,1,-1,,,14421.9445,-2
,40,Ti,22,36506#,308#,1512.8775,68.244,-4967.1884,79.1025,*,,11000.2968,68.2463,-39635#,405#,18,0.818181818,2,-2,,+,19565#,-4
,40,V,23,*,,-2141#,361#,-6105#,424#,*,,19354#,301#,*,,17,0.739130435,3,-3,,,18172#,-6
0,41,Mg,12,818#,716#,*,,*,,44900#,583#,*,,21208#,583#,29,2.416666667,4,1,0.8,,-479#,17
